D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_178.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_178.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_178.jpg,0,0,0,9.340453
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_244.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_244.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_244.jpg,0,0,0,9.264288
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_313.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_313.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_313.jpg,0,0.1897506,0,9.284285
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_384.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_384.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_384.jpg,0,0.4198137,0,9.515496
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_453.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_453.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_453.jpg,0,0.6070653,0,9.842443
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_524.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_524.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_524.jpg,-0.05,0.8402535,0,10.47064
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_593.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_593.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_593.jpg,-0.2,1,0,11.07656
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_664.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_664.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_664.jpg,-0.4,1,0,12.01385
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_735.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_735.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_735.jpg,-0.5500001,1,0,12.34732
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_804.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_804.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_804.jpg,-0.7500002,1,0,13.1445
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_878.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_878.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_878.jpg,-0.9000002,1,0,13.83076
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_06_949.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_06_949.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_06_949.jpg,-1,1,0,14.51295
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_07_019.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_07_019.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_07_019.jpg,0,1,0,15.03798
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_07_090.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_07_090.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_07_090.jpg,0,1,0,15.71702
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_07_161.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_07_161.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_07_161.jpg,0,1,0,16.32451
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_07_231.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_07_231.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_07_231.jpg,0,1,0,17.13077
D:\DATA_SELF_DRIVING\IMG\center_2023_03_01_09_50_07_303.jpg,D:\DATA_SELF_DRIVING\IMG\left_2023_03_01_09_50_07_303.jpg,D:\DATA_SELF_DRIVING\IMG\right_2023_03_01_09_50_07_303.jpg,0,1,0,17.96095
